Time,Oxygen Level,Pulse Rate,Motion
17:32:25 16/08/2026,97,113,1
17:32:27 16/08/2026,97,113,0
17:32:29 16/08/2026,97,108,0
17:32:31 16/08/2026,97,111,0
17:32:33 16/08/2026,97,109,0
17:32:35 16/08/2026,97,110,0
17:32:37 16/08/2026,97,110,0
17:32:39 16/08/2026,97,111,0
17:32:41 16/08/2026,97,112,0
17:32:43 16/08/2026,98,113,0
17:32:45 16/08/2026,98,112,0
17:32:47 16/08/2026,98,112,0
17:32:49 16/08/2026,97,111,0
17:32:51 16/08/2026,97,111,0
17:32:53 16/08/2026,97,112,0
17:32:55 16/08/2026,97,114,0
17:32:57 16/08/2026,97,115,2
17:32:59 16/08/2026,97,116,4
17:33:01 16/08/2026,97,115,1
17:33:03 16/08/2026,97,115,1
17:33:05 16/08/2026,97,113,2
17:33:07 16/08/2026,97,112,1
17:33:09 16/08/2026,97,112,0
17:33:11 16/08/2026,97,111,0
17:33:13 16/08/2026,97,112,0
17:33:15 16/08/2026,97,112,0
17:33:17 16/08/2026,97,111,1
17:33:19 16/08/2026,97,110,0
17:33:21 16/08/2026,97,109,0
17:33:23 16/08/2026,97,108,0
17:33:25 16/08/2026,97,108,0
17:33:27 16/08/2026,97,109,0
17:33:29 16/08/2026,97,109,2
17:33:31 16/08/2026,97,109,0
17:33:33 16/08/2026,97,109,0
17:33:35 16/08/2026,97,109,0
17:33:37 16/08/2026,97,110,0
17:33:39 16/08/2026,97,110,1
17:33:41 16/08/2026,97,109,0
17:33:43 16/08/2026,97,110,0
17:33:45 16/08/2026,97,110,0
17:33:47 16/08/2026,97,110,0
17:33:49 16/08/2026,97,111,0
17:33:51 16/08/2026,97,113,0
17:33:53 16/08/2026,97,114,0
17:33:55 16/08/2026,97,114,0
17:33:57 16/08/2026,97,113,0
17:33:59 16/08/2026,97,112,0
17:34:01 16/08/2026,97,111,0
17:34:03 16/08/2026,97,109,1
17:34:05 16/08/2026,98,108,0
17:34:07 16/08/2026,97,106,0
17:34:09 16/08/2026,97,106,1
17:34:11 16/08/2026,98,106,1
17:34:13 16/08/2026,97,105,1
17:34:15 16/08/2026,98,106,1
17:34:17 16/08/2026,98,103,1
17:34:19 16/08/2026,98,102,1
17:34:21 16/08/2026,98,103,2
17:34:23 16/08/2026,98,102,3
17:34:25 16/08/2026,98,103,2
17:34:27 16/08/2026,98,103,1
17:34:29 16/08/2026,98,103,1
17:34:31 16/08/2026,98,103,1
17:34:33 16/08/2026,98,103,0
17:34:35 16/08/2026,98,103,0
17:34:37 16/08/2026,98,103,0
17:34:39 16/08/2026,98,104,0
17:34:41 16/08/2026,98,105,0
17:34:43 16/08/2026,98,106,1
17:34:45 16/08/2026,98,108,6
17:34:47 16/08/2026,97,109,1
17:34:49 16/08/2026,97,109,0
17:34:51 16/08/2026,97,109,0
17:34:53 16/08/2026,97,110,1
17:34:55 16/08/2026,97,110,3
17:34:57 16/08/2026,97,110,2
17:34:59 16/08/2026,97,110,1
17:35:01 16/08/2026,97,110,0
17:35:03 16/08/2026,97,110,0
17:35:05 16/08/2026,97,110,0
17:35:07 16/08/2026,97,111,0
17:35:09 16/08/2026,96,112,0
17:35:11 16/08/2026,96,113,0
17:35:13 16/08/2026,96,113,0
17:35:15 16/08/2026,96,112,0
17:35:17 16/08/2026,97,111,0
17:35:19 16/08/2026,97,109,1
17:35:21 16/08/2026,98,108,0
17:35:23 16/08/2026,98,109,2
17:35:25 16/08/2026,98,109,0
17:35:27 16/08/2026,97,111,1
17:35:29 16/08/2026,97,111,0
17:35:31 16/08/2026,97,111,0
17:35:33 16/08/2026,97,111,1
17:35:35 16/08/2026,97,111,0
17:35:37 16/08/2026,97,111,1
17:35:39 16/08/2026,97,110,0
17:35:41 16/08/2026,97,110,3
17:35:43 16/08/2026,97,110,1
17:35:45 16/08/2026,97,110,6
17:35:47 16/08/2026,97,110,1
17:35:49 16/08/2026,97,110,0
17:35:51 16/08/2026,97,111,2
17:35:53 16/08/2026,97,111,5
17:35:55 16/08/2026,97,112,0
17:35:57 16/08/2026,97,113,0
17:35:59 16/08/2026,97,112,3
17:36:01 16/08/2026,97,112,1
17:36:03 16/08/2026,97,111,0
17:36:05 16/08/2026,97,111,0
17:36:07 16/08/2026,97,108,0
17:36:09 16/08/2026,97,107,0
17:36:11 16/08/2026,97,104,0
17:36:13 16/08/2026,97,103,1
17:36:15 16/08/2026,97,105,1
17:36:17 16/08/2026,97,103,6
17:36:19 16/08/2026,97,105,1
17:36:21 16/08/2026,97,105,0
17:36:23 16/08/2026,97,104,4
17:36:25 16/08/2026,97,105,1
17:36:27 16/08/2026,97,105,6
17:36:29 16/08/2026,97,106,0
17:36:31 16/08/2026,97,106,0
17:36:33 16/08/2026,97,108,7
17:36:35 16/08/2026,97,108,4
17:36:37 16/08/2026,97,107,0
17:36:39 16/08/2026,97,109,4
17:36:41 16/08/2026,97,109,3
17:36:43 16/08/2026,97,110,2
17:36:45 16/08/2026,97,112,0
17:36:47 16/08/2026,97,113,0
17:36:49 16/08/2026,96,113,3
17:36:51 16/08/2026,96,114,0
17:36:53 16/08/2026,96,114,1
17:36:55 16/08/2026,96,114,2
17:36:57 16/08/2026,96,117,1
17:36:59 16/08/2026,97,119,2
17:37:01 16/08/2026,97,120,3
17:37:03 16/08/2026,97,120,8
17:37:05 16/08/2026,97,120,1
17:37:07 16/08/2026,97,119,1
17:37:09 16/08/2026,97,118,1
17:37:11 16/08/2026,96,117,0
